collect_date,review_date,product_id,product_name,review_no,review_type,rating,review_text,author,user_height,user_weight,option,helpful,comment_count,has_image,image_urls,survey_size,survey_width,survey_comfort,survey_instep,url
2026-04-21 22:57:48,2026-04-09,5733085,심리스 와이드 헤드밴드  SOGY VPOR,83547450,일반,4,룰루레몬 헤어밴드 좋습니다. 러닝할때 아주 잘 사용해요,산만한브라운정장,,,Solar Grey/Vapor · One Size,0,0,True,https://www.musinsa.com/data/estimate/5733085_0/4a79db56b9094abdadabafbdd65877c0.png,,,,,https://www.musinsa.com/products/5733085#review_83547450
2026-04-21 22:57:48,2026-04-04,5733085,심리스 와이드 헤드밴드  SOGY VPOR,83449647,일반,5,"땀이 많은 편이라 러닝 한번 하고나면 상의가 반쯤 젖을만큼 땀을 흘리는데 확실히 밴드를 차니까 땀도 덜 흘러내리고, 눈도 확실히 편하네요. 그리고 재질이 좋아서 직접 닿는 피부에 자극도 없는 것 같아요",None27,,,Solar Grey/Vapor · One Size,0,0,False,,,,,,https://www.musinsa.com/products/5733085#review_83449647
2026-04-21 22:57:48,2026-04-04,5733085,심리스 와이드 헤드밴드  SOGY VPOR,83439220,일반,5,안벗겨지고 깔끔하고 무난합니다. 땀도 잘 흡수하고 가볍고 빨리 마르고 착용감도 너어무 편해요 이거,비범한제노바티켓,,,Solar Grey/Vapor · One Size,0,0,True,https://www.musinsa.com/data/estimate/5733085_0/e6e3942e52d74c26a6d466ca9f469eb3.jpg,,,,,https://www.musinsa.com/products/5733085#review_83439220
2026-04-21 22:57:48,2026-04-04,5733085,심리스 와이드 헤드밴드  SOGY VPOR,83189716,일반,5,벌써 여러 가지 색상으로 룰루레몬에 헤어밴드를 많이 가지고 있습니다. 매우 만족하며 쓰는 상품입니다.,헬미온,,,Solar Grey/Vapor · One Size,0,0,True,https://www.musinsa.com/data/estimate/5733085_0/c7be6ff7aa804646b6da9f69bd407268.jpg|https://www.musinsa.com/data/estimate/5733085_0/1c3bf5aa66a846b1a6849eba53a99140.jpg,,,,,https://www.musinsa.com/products/5733085#review_83189716
2026-04-21 22:57:48,2026-04-01,5733085,심리스 와이드 헤드밴드  SOGY VPOR,83375899,일반,5,운동할 때 쓰려고 샀는데 진짜 너무 좋아요 재질도 너무 만족스럽네요,뭔상관ㅋ,,,Solar Grey/Vapor · One Size,0,0,False,,,,,,https://www.musinsa.com/products/5733085#review_83375899
2026-04-21 22:57:48,2026-03-28,5733085,심리스 와이드 헤드밴드  SOGY VPOR,83271423,일반,5,좋음 가성비 좋음 룰루레몬 룰루랄라랄 탄력 굳 땀흡수 굳,재식이1029,,,Solar Grey/Vapor · One Size,0,0,True,https://www.musinsa.com/data/estimate/5733085_0/6bbf06064bac42b28c71888dacb17edd.jpg|https://www.musinsa.com/data/estimate/5733085_0/3eb09eaba466404784e112644976ecf1.jpg,,,,,https://www.musinsa.com/products/5733085#review_83271423
2026-04-21 22:57:48,2026-03-25,5733085,심리스 와이드 헤드밴드  SOGY VPOR,83211277,일반,5,땀흡수 잘되고 빨리 마릅니다 손빨래후에도 금방 마르고 넓이감이 있어서 넓게쓰거나 접어쓰거나 다양하게 활용할수있어서 좋아요,힘있는노랑에스닉,,,Solar Grey/Vapor · One Size,0,0,True,https://www.musinsa.com/data/estimate/5733085_0/747d00748d074fe49c6fefbc92896dea.jpg,,,,,https://www.musinsa.com/products/5733085#review_83211277
2026-04-21 22:57:48,2026-03-21,5733085,심리스 와이드 헤드밴드  SOGY VPOR,83112865,일반,5,소재도 좋고 짱짱하네요! 러닝할때 사용하려고 삿는데 세일할때 잘 삿습니다,몸좀녹이자,,,Solar Grey/Vapor · One Size,0,0,True,https://www.musinsa.com/data/estimate/5733085_0/dfc159d1dc004c9ab11a2f548b588c7e.jpg,,,,,https://www.musinsa.com/products/5733085#review_83112865
2026-04-21 22:57:48,2026-03-20,5733085,심리스 와이드 헤드밴드  SOGY VPOR,83101955,일반,4,배송도 빠르고 재질도 좋아요 사이즈도 프리사이즈라 누구나 잘맞겠네요,opiccc,,,Solar Grey/Vapor · One Size,0,0,True,https://www.musinsa.com/data/estimate/5733085_0/49822be6a53d46b1a012f7d97ceb6de5.jpg,,,,,https://www.musinsa.com/products/5733085#review_83101955
2026-04-21 22:57:48,2026-03-19,5733085,심리스 와이드 헤드밴드  SOGY VPOR,83081690,일반,4,소재가 좋음 가볍고 땀흡수 잘됨 하지만 나한텐 잘 안어올림,kanghs,,,Solar Grey/Vapor · One Size,0,0,False,,,,,,https://www.musinsa.com/products/5733085#review_83081690
